Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;11855.0;5;0;5;1;Low Rank
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;66177.0;5;26;5;46;SVD
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;46158.0;5;26;5;53;UCG
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;82688.0;15;104;15;72;BDSP
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;45914.0;31;208;31;98;DCSP
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;260774.0;5;30;5;58;Multiplexor
8s9jV4Ake7ipilgIedAWJqW8d5Nusb;"[0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767 0.1767767
 0.1767767 0.1767767 0.1767767 0.1767767]";5;1;1;0;92344.0;5;26;5;53;Isometry
ReY7gOzyTBtXs72PPxMBPsCDoB3ODl;"[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125]";6;1;1;0;22904.0;6;0;6;1;Low Rank
ReY7gOzyTBtXs72PPxMBPsCDoB3ODl;"[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125]";6;1;1;0;100661.0;6;42;6;46;SVD
ReY7gOzyTBtXs72PPxMBPsCDoB3ODl;"[0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125
 0.125 0.125 0.125 0.125]";6;1;1;0;91107.0;6;57;6;115;UCG
