Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;94786.0;2;0;2;2;Low Rank
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;16866.0;2;1;2;2;SVD
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;12160.0;2;1;2;3;UCG
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;24231.0;3;8;3;14;BDSP
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;20404.0;3;8;3;14;DCSP
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;17011.0;2;2;2;5;Multiplexor
Ujhw4xH6aOeKVAv97Mqp6K99rnCil2;[0.         0.70710678 0.         0.70710678];2;1;0;0.5;23087.0;2;1;2;3;Isometry
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;33276.0;3;3;3;7;Low Rank
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;28748.0;3;4;3;9;SVD
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;20614.0;3;4;3;9;UCG
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;28703.0;5;18;5;25;BDSP
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;26820.0;7;32;7;34;DCSP
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;34552.0;3;6;3;12;Multiplexor
VUGgfDIwBfNFxMFTaLW6JW6DNijWkG;[0.5 0.  0.5 0.  0.5 0.  0.  0.5];3;1;0;0.5;19566.0;3;4;3;9;Isometry
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;20263.0;4;6;4;9;Low Rank
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;38182.0;4;7;4;8;SVD
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;28551.0;4;11;4;23;UCG
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;25629.0;11;62;11;53;BDSP
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;17032.0;15;80;15;62;DCSP
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;54354.0;4;14;4;27;Multiplexor
qBeDqITTbBrzZfVXMxDTWHsjWE5Ww9;"[0.         0.         0.         0.         0.         0.35355339
 0.35355339 0.35355339 0.         0.35355339 0.35355339 0.35355339
 0.35355339 0.         0.         0.35355339]";4;1;0;0.5;23844.0;4;11;4;23;Isometry
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;54765.0;5;21;5;39;Low Rank
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;71283.0;5;26;5;48;SVD
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;51392.0;5;26;5;53;UCG
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;50940.0;15;104;15;76;BDSP
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;23293.0;31;200;31;98;DCSP
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;239867.0;5;30;5;58;Multiplexor
DdSqBydfswNWnOU3R9cBP98iV8CGs9;"[0.        0.        0.2236068 0.2236068 0.2236068 0.        0.
 0.        0.2236068 0.        0.2236068 0.        0.2236068 0.2236068
 0.2236068 0.        0.        0.        0.2236068 0.2236068 0.2236068
 0.        0.2236068 0.        0.2236068 0.2236068 0.2236068 0.2236068
 0.2236068 0.2236068 0.2236068 0.2236068]";5;1;0;0.5;84945.0;5;26;5;53;Isometry
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;185900.0;6;47;6;54;Low Rank
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;103762.0;6;46;6;52;SVD
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;93183.0;6;57;6;115;UCG
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;90870.0;31;248;31;120;BDSP
GShAjZYkwraLXLefKlRxe1cr7jRFIn;"[0.         0.14744196 0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.         0.14744196 0.14744196 0.14744196
 0.14744196 0.         0.         0.14744196 0.         0.
 0.         0.14744196 0.         0.14744196 0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.         0.         0.
 0.         0.         0.14744196 0.         0.         0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196 0.14744196
 0.14744196 0.14744196 0.14744196 0.14744196]";6;1;0;0.5;35732.0;63;432;63;142;DCSP
