Identifier;State;Qubit;Uniform State;Dense State;Sparsity;Duration;Output Qubit;Output CNot Gate;Output Width;Output Depth;Preparation Method
0oy8Hw87HG72jNSNY99b8lTRRDIW2e;[0. 0. 0. 1.];2;1;0;0.75;6324.0;2;0;2;1;Low Rank
4qvbRRJ3jJVYSF3gZY3pXpsz7mKFq4;[0. 0. 0. 1.];2;1;0;0.75;69325.0;2;0;2;1;Low Rank
EcsP2Tl15J1XMhsPGk4avQ0VzQrMbu;[0. 0. 0. 1.];2;1;0;0.75;8836.0;2;0;2;1;Low Rank
gEmzvSWzmaWofFsU63u6536ZkjGKlb;[0. 0. 0. 1.];2;1;0;0.75;8281.0;2;0;2;1;Low Rank
huL1v7qqSm4iwHMwgC2wPIWBQlD7Sc;[0. 0. 0. 1.];2;1;0;0.75;12832.0;2;0;2;1;Low Rank
irOgFLshS5tR2aagHQVbLHRDU5Znk7;[0. 0. 0. 1.];2;1;0;0.75;8538.0;2;0;2;1;Low Rank
m3BrenHGeOLPCZBDgY5RTdB04Qt3Ea;[0. 0. 0. 1.];2;1;0;0.75;6259.0;2;0;2;1;Low Rank
mt4zIJx6dd3qbjdyHgL5pllcp6Y2SR;[0. 0. 0. 1.];2;1;0;0.75;7600.0;2;0;2;1;Low Rank
qBBPrxUBDWL7vmDXjYu0iUsdtbhPcU;[0. 0. 0. 1.];2;1;0;0.75;7788.0;2;0;2;1;Low Rank
qrBXO1k62HALOpq3Drm3ms8meUu7cp;[0. 0. 0. 1.];2;1;0;0.75;6336.0;2;0;2;1;Low Rank
4KVdmWdAfqIeLB21wRElfwjU0tvrdY;"[0.         0.         0.70710678 0.         0.70710678 0.
 0.         0.        ]";3;1;0;0.75;9226.0;3;1;3;3;Isometry
DdmLvlT7rNbNUWPxxHUoGMweDJz1Ae;"[0.         0.         0.         0.70710678 0.         0.
 0.         0.70710678]";3;1;0;0.75;9859.0;3;0;3;2;Low Rank
HPwk6Nd3paTo9hAHX74rC7QwbPWBzO;"[0.         0.70710678 0.         0.         0.         0.
 0.         0.70710678]";3;1;0;0.75;14259.0;3;1;3;2;Low Rank
KRJf1kK7ljVu6mQvzXqIolpMgt18tR;"[0.         0.         0.70710678 0.         0.         0.
 0.         0.70710678]";3;1;0;0.75;12636.0;3;1;3;3;SVD
UfbpULBru6CsqV4rz3WRA0O7P5fZk9;"[0.         0.         0.70710678 0.70710678 0.         0.
 0.         0.        ]";3;1;0;0.75;14260.0;3;0;3;1;Low Rank
UukgUhHxZJDD4Pxg9nvPmqKh93lr0A;"[0.         0.70710678 0.         0.         0.70710678 0.
 0.         0.        ]";3;1;0;0.75;13647.0;3;2;3;5;SVD
